ゾ,88,88,1905,ｿﾞ,ゾ,z,o,ゾ,z,o
ゾ,120,120,2624,ﾄﾞ,ド,d,o,ド,d,o
タ,49,49,1452,ｶ,カ,k,a,カ,k,a
タ,89,89,1476,ﾀ,タ,t,a,タ,t,a
タ,91,91,2235,ﾀｶ,タ,t,a,カ,k,a
タ,92,92,2167,ﾀﾞ,ダ,d,a,ダ,d,a
タ,98,98,2995,ﾁｬ,チ,t,i,ャ,y,a
タ,101,101,2768,ﾁｮ,チ,t,i,ョ,y,o
タ,110,110,1778,ﾃ,テ,t,e,テ,t,e
タ,120,120,2624,ﾄﾞ,ド,d,o,ド,d,o
タ,171,171,2559,ﾗ,ラ,r,a,ラ,r,a
タメ,89,89,1476,ﾀ,タ,t,a,タ,t,a
ダ,92,92,2167,ﾀﾞ,ダ,d,a,ダ,d,a
ダ,93,93,3736,ﾀﾞｧ,ダ,d,a,ァ,a,a
ダ,126,126,3771,ﾄﾞﾙ,ド,d,o,ル,r,u
ダ,138,138,2795,ﾊﾞ,バ,b,a,バ,b,a
ダ,171,171,2559,ﾗ,ラ,r,a,ラ,r,a
ダヨ,127,127,1729,ﾅ,ナ,n,a,ナ,n,a
ダワ,182,182,2298,ﾜ,ワ,w,a,ワ,w,a
チ,96,96,2246,ﾁ,チ,t,i,チ,t,i
チ,97,97,2629,ﾁｪ,チ,t,i,ェ,a,e
チ,100,100,2114,ﾁｭ,チ,t,i,ュ,y,u
チ,101,101,2768,ﾁｮ,チ,t,i,ョ,y,o
チ,103,103,3572,ﾁﾞ,ヂ,d,i,ヂ,d,i
チ,107,107,762,ﾂ,ツ,t,u,ツ,t,u
チ,110,110,1778,ﾃ,テ,t,e,テ,t,e
チ,111,111,2427,ﾃｨ,テ,t,e,ィ,a,i
チ,115,115,3306,ﾃﾞｨ,デ,d,e,ィ,a,i
チャ,98,98,2995,ﾁｬ,チ,t,i,ャ,y,a
チャ,99,99,2783,ﾁｬｰ,チ,t,i,ー,*,*
チュ,100,100,2114,ﾁｭ,チ,t,i,ュ,y,u
チョ,101,101,2768,ﾁｮ,チ,t,i,ョ,y,o
チョ,102,102,1982,ﾁｮｯ,チ,t,i,ッ,*,*
チョ,106,106,2911,ﾁﾞｮ,ヂ,d,i,ョ,y,o
チョ,108,108,1612,ﾂｯ,ツ,t,u,ッ,*,*
チョ,118,118,1258,ﾄ,ト,t,o,ト,t,o
チョウ,81,81,2121,ｼﾞｮ,ジ,z,i,ョ,y,o
ヂ,103,103,3572,ﾁﾞ,ヂ,d,i,ヂ,d,i
ヂャ,104,104,3436,ﾁﾞｬ,ヂ,d,i,ャ,y,a
ヂュ,105,105,2712,ﾁﾞｭ,ヂ,d,i,ュ,y,u
ヂョ,106,106,2911,ﾁﾞｮ,ヂ,d,i,ョ,y,o
ッ,26,26,1365,ｯ,ッ,*,*,ッ,*,*
ツ,26,26,1365,ｯ,ッ,*,*,ッ,*,*
ツ,82,82,676,ｽ,ス,s,u,ス,s,u
ツ,100,100,2114,ﾁｭ,チ,t,i,ュ,y,u
ツ,107,107,762,ﾂ,ツ,t,u,ツ,t,u
ツ,109,109,4218,ﾂﾞ,ヅ,d,u,ヅ,d,u
ヅ,109,109,4218,ﾂﾞ,ヅ,d,u,ヅ,d,u
テ,59,59,2502,ｷﾞｮ,ギ,g,i,ョ,y,o
テ,89,89,1476,ﾀ,タ,t,a,タ,t,a
テ,94,94,2399,ﾀﾞｯ,ダ,d,a,ッ,*,*
テ,96,96,2246,ﾁ,チ,t,i,チ,t,i
テ,110,110,1778,ﾃ,テ,t,e,テ,t,e
テ,113,113,2885,ﾃﾝ,テ,t,e,ン,n,n
テ,114,114,2399,ﾃﾞ,デ,d,e,デ,d,e
テ,115,115,3306,ﾃﾞｨ,デ,d,e,ィ,a,i
ティ,111,111,2427,ﾃｨ,テ,t,e,ィ,a,i
テイ,96,96,2246,ﾁ,チ,t,i,チ,t,i
テイル,128,128,1994,ﾆ,ニ,n,i,ニ,n,i
テシ,96,96,2246,ﾁ,チ,t,i,チ,t,i
テヲ,89,89,1476,ﾀ,タ,t,a,タ,t,a
デ,86,86,3221,ｾﾞ,ゼ,z,e,ゼ,z,e
デ,95,95,3035,ﾀﾞｼ,ダ,d,a,シ,s,i
デ,110,110,1778,ﾃ,テ,t,e,テ,t,e
デ,112,112,2998,ﾃｪ,テ,t,e,ェ,a,e
デ,114,114,2399,ﾃﾞ,デ,d,e,デ,d,e
デ,115,115,3306,ﾃﾞｨ,デ,d,e,ィ,a,i
デ,133,133,2527,ﾈ,ネ,n,e,ネ,n,e
デ,179,179,1879,ﾚ,レ,r,e,レ,r,e
デッ,114,114,2399,ﾃﾞ,デ,d,e,デ,d,e
ト,87,87,1662,ｿ,ソ,s,o,ソ,s,o
ト,89,89,1476,ﾀ,タ,t,a,タ,t,a
ト,101,101,2768,ﾁｮ,チ,t,i,ョ,y,o
ト,118,118,1258,ﾄ,ト,t,o,ト,t,o
ト,120,120,2624,ﾄﾞ,ド,d,o,ド,d,o
ト,121,121,3159,ﾄﾞｩ,ド,d,o,ゥ,a,u
ト,122,122,2806,ﾄﾞｩｰ,ド,d,o,ー,*,*
ト,123,123,2852,ﾄﾞｫ,ド,d,o,ォ,a,o
ト,124,124,2713,ﾄﾞｰ,ド,d,o,ー,*,*
ト,125,125,3130,ﾄﾞｰﾝ,ド,d,o,ン,n,n
ト,127,127,1729,ﾅ,ナ,n,a,ナ,n,a
トイ,174,174,2978,ﾘ,リ,r,i,リ,r,i
トイッテ,90,90,1299,ﾀｯ,タ,t,a,ッ,*,*
トヲ,123,123,2852,ﾄﾞｫ,ド,d,o,ォ,a,o
ド,32,32,2850,ｱ,ア,a,a,ア,a,a
ド,92,92,2167,ﾀﾞ,ダ,d,a,ダ,d,a
ド,118,118,1258,ﾄ,ト,t,o,ト,t,o
ド,120,120,2624,ﾄﾞ,ド,d,o,ド,d,o
ド,121,121,3159,ﾄﾞｩ,ド,d,o,ゥ,a,u
ド,159,159,2140,ﾎﾟ,ポ,p,o,ポ,p,o
ド,167,167,750,ﾓ,モ,m,o,モ,m,o
ド,181,181,2632,ﾛ,ロ,r,o,ロ,r,o
ドン,120,120,2624,ﾄﾞ,ド,d,o,ド,d,o
ナ,9,9,2612,ナ,ナ,n,a,ナ,n,a
ナ,32,32,2850,ｱ,ア,a,a,ア,a,a
ナ,51,51,1849,ｶﾞ,ガ,g,a,ガ,g,a
